client_id,total_spend,avg_spend,transaction_count,spending_volatility,engagement_score,spending_tier,volatility_level,wellness_score,wellness_category,high_value_customer,digital_transaction_ratio,digital_persona,last_transaction_date,days_since_last_transaction,churn_risk,id,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards
17,11082.54,45.0509756097561,246,53.6556975754636,165.62039024390242,High Spender,Moderate,101.18415316783411,Healthy,0,0.04065040650406504,Traditional User,2019-10-23 05:04:00,8,Active,17,76,65,1943,7,Male,2012 Forest Avenue,35.73,-81.32,17850.0,21867.0,21103.0,759,2
19,712.52,13.44377358490566,53,9.32421150026084,37.177509433962264,Low Spender,Stable,23.368289775419534,Low Wellness,0,0.018867924528301886,Traditional User,2019-10-13 13:53:00,18,Active,19,82,68,1937,5,Female,6577 Catherine Lane,34.41,-119.7,23071.0,34903.0,1336.0,630,1
20,3877.9,22.946153846153848,169,86.202934218373,110.57846153846153,Moderate Spender,Moderate,57.24325931017155,Moderate Wellness,0,0.023668639053254437,Traditional User,2019-10-19 04:25:00,12,Active,20,86,67,1933,12,Female,3631 Plum Boulevard,32.42,-97.1,19477.0,23371.0,0.0,757,8
21,5264.93,36.56201388888889,144,64.367036709771,101.02480555555555,Moderate Spender,Moderate,55.695196824712475,Moderate Wellness,0,0.06944444444444445,Traditional User,2019-10-11 22:16:00,19,Active,21,48,66,1972,2,Male,819 Park Boulevard,39.47,-87.38,21131.0,43084.0,0.0,850,3
22,1878.2,39.12916666666667,48,44.675577974726714,44.45166666666667,Low Spender,Stable,22.00363440505466,Low Wellness,0,0.3125,Traditional User,2019-10-17 16:50:00,14,Active,22,56,66,1963,3,Male,5651 North Boulevard,38.99,-76.88,26467.0,53966.0,135478.0,747,1
24,6688.97,49.54792592592593,135,69.67456584376296,100.81917037037037,Moderate Spender,Moderate,54.92946460902518,Moderate Wellness,0,0.05185185185185185,Traditional User,2019-10-19 14:06:00,12,Active,24,48,64,1971,11,Female,55378 Burns Avenue,42.27,-89.06,18906.0,38554.0,47186.0,708,1
27,4613.15,31.16993243243243,148,67.67248884335424,101.26797297297297,Moderate Spender,Moderate,55.016481961058886,Moderate Wellness,0,0.05405405405405406,Traditional User,2019-10-20 04:34:00,11,Active,27,78,63,1941,8,Female,3553 Mountain View Drive,32.28,-90.0,22304.0,23821.0,22427.0,613,8
28,5609.83,58.43572916666667,96,93.87810497206965,80.97429166666666,Moderate Spender,Moderate,37.15509775558607,Low Wellness,0,0.1875,Traditional User,2019-08-29 20:06:00,63,High Risk,28,39,65,1980,4,Female,871 12th Lane,38.63,-77.26,26618.0,54273.0,110237.0,789,4
32,4912.39,36.65962686567165,134,74.42729955741103,95.06385074626866,Moderate Spender,Moderate,49.71242814821928,Low Wellness,0,0.4253731343283582,Traditional User,2019-10-30 11:05:00,1,Active,32,82,67,1937,9,Female,7336 First Avenue,40.31,-79.54,23074.0,52315.0,3174.0,695,4
33,9250.09,52.85765714285714,175,79.75992934761757,126.14306285714287,High Spender,Moderate,69.90531127333362,Moderate Wellness,0,0.06857142857142857,Traditional User,2019-10-16 04:52:00,15,Active,33,77,71,1942,6,Female,6335 Rose Lane,39.21,-119.71,18239.0,38692.0,8902.0,596,5
34,11955.710000000001,49.60875518672199,241,57.43591687794888,164.4435020746888,High Spender,Moderate,99.79544318042682,Moderate Wellness,0,0.06639004149377593,Traditional User,2019-10-27 09:07:00,4,Active,34,41,55,1978,8,Male,7467 Spruce Drive,38.48,-121.34,25431.0,51854.0,72162.0,737,2
37,7139.57,31.591017699115042,226,83.53450471288112,148.236407079646,High Spender,Moderate,83.1704043671583,Moderate Wellness,0,0.02654867256637168,Traditional User,2019-10-28 19:58:00,3,Active,37,41,60,1978,7,Female,533 Sussex Drive,43.31,-76.57,17013.0,34690.0,48954.0,683,4
38,8082.35,40.210696517412934,201,70.4439778228944,136.68427860696517,High Spender,Moderate,78.374413390645,Moderate Wellness,0,0.6318407960199005,Digital First,2019-10-27 09:11:00,4,Active,38,45,64,1974,12,Female,582 Birch Boulevard,26.63,-81.85,19621.0,40006.0,72794.0,621,1
39,14165.4,60.278297872340424,235,68.94599375750587,165.11131914893616,High Spender,Moderate,98.29429061020096,Moderate Wellness,0,0.2936170212765957,Traditional User,2019-10-24 19:14:00,7,Active,39,54,67,1965,5,Female,984 Eighth Avenue,41.29,-72.36,30281.0,61740.0,126015.0,583,2
40,2908.94,30.946170212765956,94,70.7984178200345,68.77846808510638,Low Spender,Moderate,32.72416749982288,Low Wellness,0,0.02127659574468085,Traditional User,2019-07-11 14:58:00,112,High Risk,40,71,74,1948,6,Male,2786 Forest Lane,39.92,-83.79,14342.0,29243.0,30686.0,726,4
42,3598.89,27.26431818181818,132,56.095513110538775,90.10572727272728,Moderate Spender,Moderate,49.7601928324377,Low Wellness,0,0.06060606060606061,Traditional User,2019-10-18 22:53:00,12,Active,42,78,66,1941,11,Female,3863 Pine Street,30.84,-83.27,12672.0,8526.0,3723.0,684,3
44,5189.65,48.052314814814814,108,60.08297657432433,84.02092592592592,Moderate Spender,Moderate,45.59909912957958,Low Wellness,0,0.06481481481481481,Traditional User,2019-10-20 08:28:00,11,Active,44,85,67,1934,12,Male,8651 Seventh Street,43.48,-124.16,16738.0,38194.0,1674.0,680,3
45,1003.86,9.939207920792079,101,32.190903860661265,64.57568316831683,Low Spender,Stable,36.943581604105376,Low Wellness,0,0.3564356435643564,Traditional User,2019-09-13 18:26:00,48,High Risk,45,61,67,1959,1,Female,9473 Mill Street,40.86,-74.15,31281.0,63781.0,111808.0,654,1
46,6756.14,43.30858974358974,156,98.93067436144992,110.9234358974359,Moderate Spender,Moderate,55.606442050786946,Moderate Wellness,0,0.05128205128205128,Traditional User,2019-10-30 06:55:00,1,Active,46,62,66,1957,6,Male,20 Littlewood Boulevard,40.66,-73.84,26481.0,53996.0,98211.0,632,4
47,4753.3,29.89496855345912,159,73.62547670537654,107.35798742138364,Moderate Spender,Moderate,57.84339522496243,Moderate Wellness,0,0.05660377358490566,Traditional User,2019-10-26 13:44:00,5,Active,47,47,62,1972,9,Male,523 Federal Drive,40.84,-73.87,12475.0,25434.0,45540.0,712,4
48,2258.86,17.92746031746032,126,75.28871171628859,82.77098412698412,Low Spender,Moderate,40.72049575198038,Low Wellness,0,0.03968253968253968,Traditional User,2019-09-11 08:54:00,50,High Risk,48,69,63,1950,4,Male,5233 Valley Stream Street,35.11,-106.62,20993.0,16542.0,36831.0,733,3
50,3896.11,36.0750925925926,108,68.55338603872549,79.23003703703704,Moderate Spender,Moderate,40.31185057003268,Low Wellness,0,0.07407407407407407,Traditional User,2019-08-09 17:29:00,83,High Risk,50,68,72,1951,7,Female,267 Birch Boulevard,45.82,-88.06,19243.0,39238.0,85457.0,702,4
51,5175.66,40.43484375,128,60.440185020644364,92.9739375,Moderate Spender,Moderate,51.242416120871134,Moderate Wellness,0,0.0625,Traditional User,2019-10-31 14:30:00,0,Active,51,29,67,1991,2,Female,3260 Hillside Lane,36.29,-86.6,25166.0,51303.0,106248.0,688,3
52,21934.27,71.9156393442623,305,64.16761682511076,211.7662557377049,Premium Spender,Moderate,130.74116843825652,Healthy,1,0.03934426229508197,Traditional User,2019-10-28 05:52:00,3,Active,52,56,66,1963,4,Female,13 Rose Boulevard,41.56,-73.59,31288.0,63796.0,82173.0,730,3
53,9996.44,28.238531073446328,354,63.73627051038276,223.69541242937854,High Spender,Moderate,137.32430521995735,Healthy,0,0.4745762711864407,Traditional User,2019-09-21 08:16:00,40,High Risk,53,49,68,1970,12,Female,7406 Mill Avenue,38.62,-120.62,19471.0,39700.0,59062.0,701,3
55,3766.34,16.965495495495496,222,51.607030883700354,139.9861981981982,Moderate Spender,Moderate,83.56824247190859,Moderate Wellness,0,0.03153153153153153,Traditional User,2019-10-20 13:38:00,11,Active,55,61,68,1958,3,Female,3374 Littlewood Street,37.92,-122.34,21869.0,44583.0,85531.0,717,5
57,5895.42,36.846375,160,48.679954412668636,110.73855,Moderate Spender,Stable,65.31792161746627,Moderate Wellness,0,0.03125,Traditional User,2019-10-07 03:09:00,24,Active,57,28,66,1992,2,Female,9706 Mountain View Street,32.33,-111.05,21494.0,43826.0,84935.0,823,1
58,7460.3,62.69159663865546,119,72.16406130505206,96.47663865546218,High Spender,Moderate,51.97466673058622,Moderate Wellness,0,0.42016806722689076,Traditional User,2019-10-26 16:10:00,5,Active,58,38,66,1981,4,Female,6561 George Avenue,38.81,-90.96,25756.0,52512.0,95640.0,706,2
59,4749.3099999999995,28.95920731707317,164,74.56025932859231,109.98368292682926,Moderate Spender,Moderate,59.375710329403496,Moderate Wellness,0,0.03048780487804878,Traditional User,2019-10-04 16:08:00,27,Active,59,85,69,1934,8,Female,726 Oak Avenue,32.78,-108.26,16654.0,25066.0,424.0,695,7
60,9449.98,64.28557823129252,147,77.0401135428655,113.91423129251702,High Spender,Moderate,62.67765076081466,Moderate Wellness,0,0.047619047619047616,Traditional User,2019-08-30 06:50:00,62,High Risk,60,47,64,1972,8,Female,467 Birch Avenue,43.23,-77.06,16703.0,34057.0,59247.0,655,4
61,11631.97,64.26502762430938,181,120.72116607945173,134.30601104972374,High Spender,Moderate,67.53527507140247,Moderate Wellness,0,0.055248618784530384,Traditional User,2019-10-15 21:32:00,15,Active,61,44,65,1976,2,Female,4121 Mountain View Boulevard,41.05,-73.74,45812.0,93406.0,151935.0,801,3
62,4179.15,20.287135922330094,206,56.9722491543757,131.71485436893204,Moderate Spender,Moderate,77.09169094582388,Moderate Wellness,0,0.05339805825242718,Traditional User,2019-10-13 12:21:00,18,Active,62,78,68,1941,11,Female,9911 Rose Street,41.13,-124.04,15296.0,22290.0,9235.0,716,6
63,3496.23,15.5388,225,40.49150564448231,141.21552,Moderate Spender,Stable,86.56333887110354,Moderate Wellness,0,0.4622222222222222,Traditional User,2019-10-13 15:21:00,18,Active,63,40,64,1979,12,Male,390 Tenth Street,40.72,-74.17,17370.0,35418.0,51741.0,660,6
64,9106.8,64.58723404255319,141,73.29052021243348,110.43489361702127,High Spender,Moderate,61.11806617027926,Moderate Wellness,0,0.16312056737588654,Traditional User,2019-10-06 11:32:00,25,Active,64,39,68,1980,3,Female,95 12th Avenue,34.0,-118.03,25242.0,51465.0,0.0,702,2
65,3813.77,29.795078125,128,74.01309933001586,88.71803125,Moderate Spender,Moderate,45.33590357149683,Low Wellness,0,0.03125,Traditional User,2019-09-25 08:52:00,36,High Risk,65,51,72,1968,10,Female,4514 Elm Street,33.99,-81.08,16928.0,34517.0,74143.0,645,2
68,10396.88,59.073181818181816,176,52.915932454530825,129.22927272727273,High Spender,Moderate,77.53876805454837,Moderate Wellness,0,0.03977272727272727,Traditional User,2019-09-15 10:01:00,46,High Risk,68,42,70,1977,10,Male,58 Birch Lane,41.55,-90.6,20599.0,41997.0,0.0,704,3
69,3897.81,29.983153846153847,130,80.70964261416587,89.99326153846154,Moderate Spender,Moderate,44.85301763101298,Low Wellness,0,0.015384615384615385,Traditional User,2019-10-20 16:50:00,11,Active,69,54,67,1965,10,Female,3067 First Street,40.52,-81.47,18794.0,38318.0,93284.0,748,6
73,9379.27,88.48367924528303,106,130.47967863909997,98.99347169811321,High Spender,Moderate,42.84916804576493,Low Wellness,0,0.08490566037735849,Traditional User,2019-05-01 14:23:00,183,High Risk,73,48,73,1971,12,Male,2193 Sixth Avenue,41.71,-73.96,26227.0,53478.0,73030.0,674,3
74,2654.49,41.47640625,64,68.79606924834309,54.990562499999996,Low Spender,Moderate,24.28370802533138,Low Wellness,0,0.03125,Traditional User,2019-09-10 18:04:00,51,High Risk,74,54,74,1965,5,Female,1444 Plum Boulevard,38.86,-104.76,20579.0,41957.0,151027.0,783,3
75,4745.21,28.24529761904762,168,52.02810514002783,112.09811904761905,Moderate Spender,Moderate,65.26796825770872,Moderate Wellness,0,0.375,Traditional User,2019-10-26 13:33:00,5,Active,75,80,66,1939,12,Female,6328 Forest Street,29.76,-95.38,18528.0,22326.0,1620.0,564,4
77,15198.06,71.68896226415094,212,64.5603730664715,155.87558490566036,Premium Spender,Moderate,93.394614065951,Moderate Wellness,1,0.0330188679245283,Traditional User,2019-10-31 17:21:00,0,Active,77,99,67,1920,10,Female,596 Ninth Street,40.24,-76.92,25336.0,51110.0,3781.0,709,8
78,3183.2,26.307438016528923,121,32.28880021330734,83.12297520661156,Moderate Spender,Stable,49.834471362297215,Low Wellness,0,0.024793388429752067,Traditional User,2016-09-26 01:55:00,1130,High Risk,78,37,63,1983,1,Male,5320 Mountain View Street,33.95,-118.29,12362.0,25205.0,65179.0,688,1
79,5045.99,53.68074468085106,94,101.2699640664503,77.87229787234043,Moderate Spender,Moderate,33.450230590965255,Low Wellness,0,0.1276595744680851,Traditional User,2019-08-12 06:24:00,80,High Risk,79,70,66,1949,10,Female,990 North Lane,30.36,-87.17,20045.0,29164.0,19851.0,625,4
80,4157.1900000000005,33.798292682926835,123,86.28867556445476,87.31931707317074,Moderate Spender,Moderate,42.081752691987106,Low Wellness,0,0.08130081300813008,Traditional User,2019-10-30 08:44:00,1,Active,80,82,67,1937,8,Female,362 Martin Luther King Street,41.01,-84.47,15090.0,21815.0,1597.0,498,5
81,7943.35,42.02830687830688,189,53.33618066936071,130.21132275132274,High Spender,Moderate,77.54125592961994,Moderate Wellness,0,0.07407407407407407,Traditional User,2019-07-28 03:17:00,95,High Risk,81,66,68,1953,3,Female,804 Sixth Boulevard,29.57,-97.96,17440.0,35560.0,60397.0,723,5
84,5985.91,29.487241379310344,203,36.05243935493752,133.59489655172413,Moderate Spender,Stable,82.8356845428056,Moderate Wellness,0,0.07389162561576355,Traditional User,2019-09-28 13:16:00,33,High Risk,84,47,68,1972,9,Male,23068 Park Street,36.49,-81.5,12630.0,25748.0,41455.0,738,3
86,2155.79,36.53881355932203,59,39.681497602993325,50.01552542372881,Low Spender,Stable,26.62534454719794,Low Wellness,0,0.4406779661016949,Traditional User,2019-10-25 20:08:00,6,Active,86,24,65,1995,6,Male,7675 Main Boulevard,33.0,-81.3,11384.0,23212.0,25138.0,799,3
87,5703.8,32.59314285714286,175,26.51313883474153,118.03725714285714,Moderate Spender,Stable,74.47531509019456,Moderate Wellness,0,0.045714285714285714,Traditional User,2019-09-11 19:27:00,50,High Risk,87,58,71,1961,5,Male,663 Second Boulevard,26.13,-97.63,11844.0,24155.0,2870.0,802,3
89,6578.19,30.739205607476634,214,51.03871555281805,140.69568224299067,Moderate Spender,Moderate,84.61401857167938,Moderate Wellness,0,0.028037383177570093,Traditional User,2019-10-24 06:32:00,7,Active,89,35,67,1984,6,Male,7794 Ocean Street,32.27,-106.61,14822.0,30217.0,23394.0,705,4
90,7946.21,55.18201388888889,144,57.335893230673975,108.47280555555555,High Spender,Moderate,62.687425520531875,Moderate Wellness,0,0.18055555555555555,Traditional User,2019-09-24 20:38:00,37,High Risk,90,63,62,1956,8,Male,9 Mill Drive,28.37,-80.75,19018.0,12796.0,22192.0,644,3
92,6011.56,33.21303867403315,181,77.11074848801451,121.88521546961326,Moderate Spender,Moderate,66.94176190460705,Moderate Wellness,0,0.06077348066298342,Traditional User,2019-10-04 13:42:00,27,Active,92,76,68,1943,10,Female,2760 Forest Drive,43.54,-96.73,21089.0,31145.0,5132.0,689,4
94,6881.15,34.40575,200,49.32016799742242,133.7623,Moderate Spender,Stable,80.45769140051551,Moderate Wellness,0,0.615,Digital First,2019-10-10 23:27:00,20,Active,94,59,72,1961,1,Female,704 Summit Drive,35.71,-81.15,18029.0,36760.0,95755.0,593,2
96,39686.15,66.14358333333334,600,107.69730357808268,386.4574333333333,Premium Spender,Moderate,238.30361428438346,Excellent,1,0.018333333333333333,Traditional User,2019-10-20 16:40:00,11,Active,96,69,66,1950,12,Female,20 Oak Street,33.89,-117.78,38948.0,99825.0,4344.0,685,4
98,10224.3,34.30973154362416,298,31.32111740046776,192.52389261744963,High Spender,Stable,123.2286959829937,Healthy,0,0.174496644295302,Traditional User,2019-10-27 20:01:00,4,Active,98,80,67,1939,4,Female,7872 Oak Drive,40.14,-87.61,15755.0,16646.0,1639.0,590,2
100,4318.65,47.457692307692305,91,88.23843657420402,73.58307692307693,Moderate Spender,Moderate,32.98962037746688,Low Wellness,0,0.12087912087912088,Traditional User,2019-09-02 14:22:00,59,High Risk,100,56,66,1963,9,Male,3982 Ocean View Street,35.98,-79.99,24005.0,48944.0,79960.0,813,7
103,1882.79,28.966,65,56.13749662658641,50.5864,Low Spender,Moderate,23.462300674682716,Low Wellness,0,0.15384615384615385,Traditional User,2019-06-29 12:52:00,124,High Risk,103,41,71,1978,3,Female,8 Tenth Drive,35.82,-78.65,17056.0,34774.0,78060.0,850,5
104,5213.51,44.55991452991453,117,64.14453017097172,88.02396581196581,Moderate Spender,Moderate,47.339068324780015,Low Wellness,0,0.07692307692307693,Traditional User,2019-10-30 20:14:00,1,Active,104,33,65,1986,11,Female,2043 Mill Street,32.69,-97.01,18334.0,37384.0,49182.0,713,3
106,3737.82,17.38520930232558,215,44.64003166376529,135.95408372093024,Moderate Spender,Stable,82.28755645794462,Moderate Wellness,0,0.046511627906976744,Traditional User,2019-10-12 08:16:00,19,Active,106,52,60,1967,10,Male,146 Plum Avenue,39.77,-86.14,14691.0,29957.0,60321.0,624,5
107,3549.29,50.704142857142855,70,84.68915011001177,62.28165714285714,Moderate Spender,Moderate,26.2734128351405,Low Wellness,0,0.07142857142857142,Traditional User,2019-10-25 21:36:00,5,Active,107,50,70,1970,1,Male,1504 Lincoln Drive,34.29,-94.33,13123.0,26758.0,41064.0,734,5
110,6032.79,67.78415730337079,89,99.00539237849836,80.51366292134831,Moderate Spender,Moderate,36.134168715311574,Low Wellness,0,0.11235955056179775,Traditional User,2019-10-02 19:24:00,29,Active,110,52,72,1967,10,Female,31204 El Camino Lane,30.26,-97.74,25594.0,52186.0,42852.0,737,4
112,16735.25,33.877024291497975,494,37.86764544372599,309.95080971659917,Premium Spender,Stable,200.18957819870423,Excellent,1,0.2611336032388664,Traditional User,2019-10-27 10:43:00,4,Active,112,54,66,1965,12,Female,85 Lafayette Boulevard,43.98,-75.6,17220.0,35114.0,24637.0,686,5
113,8319.64,95.62804597701148,87,129.82111786536046,90.4512183908046,High Spender,Moderate,37.52419022003136,Low Wellness,0,0.11494252873563218,Traditional User,2019-09-22 18:18:00,39,High Risk,113,74,71,1946,1,Female,4 Plum Boulevard,32.86,-97.21,26016.0,39003.0,10793.0,788,5
114,16021.76,25.151899529042385,637,61.93445086360298,392.26075981161694,Premium Spender,Moderate,249.95867968599214,Excellent,1,0.09419152276295134,Traditional User,2019-10-31 12:46:00,0,Active,114,47,65,1972,12,Female,112 Elm Avenue,34.18,-118.39,16892.0,34441.0,907.0,725,4
115,11386.6,88.26821705426357,129,154.33487200347017,112.70728682170542,High Spender,Moderate,47.21349071558504,Low Wellness,0,0.05426356589147287,Traditional User,2019-10-15 08:31:00,16,Active,115,61,69,1958,7,Male,386 11th Lane,40.93,-73.72,49546.0,101018.0,78115.0,748,6
116,4876.55,37.511923076923075,130,67.94931461566205,93.00476923076923,Moderate Spender,Moderate,49.66371399994451,Low Wellness,0,0.3230769230769231,Traditional User,2019-10-30 09:56:00,1,Active,116,31,68,1988,8,Male,168 Sussex Boulevard,42.95,-77.59,32973.0,67230.0,45269.0,685,2
118,4536.68,44.045436893203885,103,57.91689866129356,79.41817475728155,Moderate Spender,Moderate,42.83025133570246,Low Wellness,0,0.05825242718446602,Traditional User,2019-08-08 09:21:00,84,High Risk,118,56,68,1963,12,Female,407 Seventh Lane,33.52,-86.79,15471.0,31533.0,42315.0,753,3
119,4475.47,36.0925,124,94.64170318366035,88.83699999999999,Moderate Spender,Moderate,41.49940936326793,Low Wellness,0,0.0967741935483871,Traditional User,2019-10-25 06:44:00,6,Active,119,44,67,1975,9,Female,60 Little Creek Avenue,36.16,-115.28,27761.0,56605.0,87970.0,624,3
120,5510.57,69.75405063291139,79,116.3114299619443,75.30162025316456,Moderate Spender,Moderate,29.26392919748455,Low Wellness,0,0.0759493670886076,Traditional User,2019-10-07 09:56:00,24,Active,120,50,71,1969,9,Female,64 Mill Street,42.88,-88.0,29924.0,61008.0,0.0,781,4
121,7898.53,47.86987878787879,165,44.67125639095227,118.14795151515152,High Spender,Stable,71.42671235817318,Moderate Wellness,0,0.10909090909090909,Traditional User,2019-09-07 00:42:00,54,High Risk,121,34,66,1985,11,Female,71858 Mountain View Street,44.21,-88.43,22277.0,45419.0,124370.0,721,3
122,5466.55,36.2023178807947,151,58.43324740184259,105.08092715231788,Moderate Spender,Moderate,59.5740458838699,Moderate Wellness,0,0.039735099337748346,Traditional User,2019-10-12 15:02:00,19,Active,122,65,66,1954,3,Female,6303 South Boulevard,29.69,-91.3,19237.0,39221.0,45409.0,786,4
123,6738.4,36.42378378378378,185,117.77771108780911,125.56951351351351,Moderate Spender,Moderate,61.37159291757331,Moderate Wellness,0,0.05405405405405406,Traditional User,2019-10-06 10:31:00,25,Active,123,43,66,1976,9,Female,5180 Burns Boulevard,33.24,-84.27,17811.0,36315.0,0.0,824,3
124,3363.04,25.67206106870229,131,56.34604804540158,88.86882442748092,Moderate Spender,Moderate,48.83240871153038,Low Wellness,0,0.05343511450381679,Traditional User,2019-09-03 09:34:00,58,High Risk,124,31,70,1988,8,Female,9833 Forest Street,34.6,-98.42,16829.0,34311.0,6971.0,680,4
125,2071.92,20.312941176470588,102,41.87234964187177,69.32517647058823,Low Spender,Stable,38.51941242456683,Low Wellness,0,0.0392156862745098,Traditional User,2019-10-26 01:40:00,5,Active,125,64,70,1956,2,Female,9505 Martin Luther King Avenue,37.63,-121.01,13015.0,26535.0,93592.0,724,5
126,3195.7200000000003,18.157500000000002,176,40.84813546365541,112.863,Moderate Spender,Stable,67.67762290726893,Moderate Wellness,0,0.056818181818181816,Traditional User,2019-10-31 10:45:00,0,Active,126,63,65,1956,10,Male,5159 Wessex Avenue,34.72,-92.35,13047.0,26600.0,0.0,799,4
127,8333.99,57.08212328767123,146,67.11928053546528,110.4328493150685,High Spender,Moderate,62.100780879208315,Moderate Wellness,0,0.08904109589041095,Traditional User,2019-10-20 12:00:00,11,Active,127,48,68,1971,7,Male,671 Little Creek Street,31.7,-86.26,15474.0,31553.0,63938.0,729,3
128,3756.88,34.46678899082569,109,67.24574136152131,79.18671559633027,Moderate Spender,Moderate,40.49088842494344,Low Wellness,0,0.08256880733944955,Traditional User,2019-09-14 11:05:00,47,High Risk,128,40,66,1979,4,Female,6914 Wessex Avenue,29.76,-95.38,15389.0,31377.0,59615.0,722,2
132,1689.46,25.991692307692308,65,81.86390036535546,49.396676923076924,Low Spender,Moderate,17.424727619236595,Low Wellness,0,0.06153846153846154,Traditional User,2019-10-14 16:23:00,17,Active,132,77,72,1942,5,Female,8407 Littlewood Street,27.48,-82.57,13972.0,31555.0,12777.0,696,4
133,6356.17,48.89361538461539,130,65.04195081558852,97.55744615384616,Moderate Spender,Moderate,53.65969445226691,Moderate Wellness,0,0.43846153846153846,Traditional User,2019-10-24 22:26:00,6,Active,133,31,65,1988,10,Female,5295 Pine Street,33.95,-84.54,30747.0,62692.0,50290.0,698,2
134,5713.66,56.01627450980392,102,107.38386198906367,83.60650980392157,Moderate Spender,Moderate,36.12810995512844,Low Wellness,0,0.06862745098039216,Traditional User,2019-10-04 14:02:00,27,Active,134,43,67,1976,12,Male,924 First Drive,31.84,-106.43,24608.0,50174.0,145300.0,643,4
135,12087.37,47.40145098039216,255,89.65300005878171,171.96058039215686,High Spender,Moderate,98.28983528236131,Moderate Wellness,0,0.6745098039215687,Digital First,2019-10-27 18:56:00,4,Active,135,64,69,1955,6,Female,327 Lafayette Boulevard,39.72,-82.59,18680.0,38088.0,51679.0,691,2
137,13570.99,49.529160583941604,274,46.54194836812117,184.21166423357664,High Spender,Stable,115.15035850155826,Healthy,0,0.043795620437956206,Traditional User,2019-10-18 06:35:00,13,Active,137,33,65,1986,7,Female,3177 Oak Avenue,36.33,-82.36,20142.0,41069.0,64073.0,644,3
138,3162.4,25.503225806451614,124,112.75819527873662,84.60129032258064,Moderate Spender,Moderate,34.69932868618815,Low Wellness,0,0.06451612903225806,Traditional User,2019-10-31 15:34:00,0,Active,138,43,68,1977,2,Female,754 South Avenue,40.77,-79.04,16071.0,32770.0,103262.0,641,4
